date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-10 18:46:09,Moleyeann,,0,1,0,"Sir, @segalink The police along Sagamu expressway to Ìjẹ̀bú Ode are harassing and extoroting young men. They just abducted two guys from the bus I am in because they have iPhones.",,@segalink,,1204472384981483525,https://twitter.com/Moleyeann/status/1204472384981483525
2019-12-10 16:27:54,Neusroom,,1,0,0,"The group threatened to carry out massive attacks on military formations in a video dated December 8, where some masked members of the group executed three hostages. The victims were reportedly two soldiers and a policeman who were abducted at a fake checkpoint in Maiduguri.",,,,1204437595532546049,https://twitter.com/Neusroom/status/1204437595532546049
2019-12-10 11:01:47,NewsASAPng,,0,0,0,"Women abducted, 22 killed, as gunmen raid Katsina communities https://is.gd/n40KLk",,,,1204355523010801664,https://twitter.com/NewsASAPng/status/1204355523010801664
2019-12-10 10:38:01,prevail247,ChifeDr,0,0,1,"Why do we let others set the agenda? We also suffer impunity? While I distaste injustice against Sowore so do I hate injustice being meted to Barr. Ejiofor (IPOB's attrn), his house burnt, members killed & others abducted. Why's injustice against me not as offensive as others?",,,,1204349543309074432,https://twitter.com/prevail247/status/1204349543309074432
2019-12-10 09:23:04,rifnote,,0,0,1,"EDITORIALS Another World Bank report on extreme poverty Prudent management of loans Missing or abducted by the state? Tackling the Lagos traffic nightmare Buhari, NASS, stop the loan binge http://rifnote.com/blog/editorials pic.twitter.com/gXVJIruy7N",,,,1204330682182504448,https://twitter.com/rifnote/status/1204330682182504448
2019-12-10 05:39:12,prevail247,segalink,0,6,10,"IPOB lawyer's house was invaded, persons killed according to report & his house burnt down. The poor citizen is on the run. NBA & CSO are mute. 3 IPOB members abducted by police at Abakaliki ystday. Silence! When we select which injustice we fight, how are we diff from d tyrant?",,,,1204274345377443840,https://twitter.com/prevail247/status/1204274345377443840
2019-12-09 11:36:52,GmFaka,,0,0,0,"Two Catholic Priests Abducted By Unknown Gunmen in Ondo State https://goo.gl/fb/GcjnLv",,,,1204001965711282176,https://twitter.com/GmFaka/status/1204001965711282176
2019-12-09 10:48:06,Adedamola_Bells,Abdurrahim080,1,0,2,"They were abducted without uniforms at a fake checkpoint.",,,,1203989692355678210,https://twitter.com/Adedamola_Bells/status/1203989692355678210
2019-12-09 08:52:02,olabode_jnr,,0,2,4,"The government's narrative is even worse. Unknown gunmen entered a Nigerian temple of justice and abducted a Nigerian citizen? ...because he's El-Chapo now?",,,,1203960483361034240,https://twitter.com/olabode_jnr/status/1203960483361034240
2019-12-09 08:25:46,NewsASAPng,,0,0,0,"Abducted Ondo quarry worker freed https://is.gd/jTnFjc",,,,1203953874794688512,https://twitter.com/NewsASAPng/status/1203953874794688512
2019-12-09 07:13:12,vomojola,stevetwits,0,0,3,"Inter-service cooperation will come in. Navy go ship some, airforce will airlift some. Soldiers will ""neutralise"" some, some will be abducted by the secret people, some will be converted by oc them. The rest will be easy for VIO to tow. Don't risk your car",,,,1203935612543406081,https://twitter.com/vomojola/status/1203935612543406081
2019-12-09 03:23:03,Emekaclems222,,0,26,5,"Nigerian army @HQNigerianArmy last night 7-12-2019 abducted three Biafrans (Kelvin Odionyenfe Nduka, Nnamdi Obi and Chinemerem Onuorah) and taken to an undisclosed location for possible execution. @UKinNigeria @USEmbassyAbuja @AmnestyNigeria @amnesty",,@HQNigerianArmy @UKinNigeria @USEmbassyAbuja @AmnestyNigeria @amnesty,,1203877692912939010,https://twitter.com/Emekaclems222/status/1203877692912939010
2019-12-09 03:22:18,Emekaclems222,,3,49,10,"Nigerian army @HQNigerianArmy last night 7-12-2019 abducted three Biafrans (Kelvin Odionyenfe Nduka, Nnamdi Obi and Chinemerem Onuorah) and taken to an undisclosed location for possible execution. @realDonaldTrump @HrmQueene @BorisJohnson @StateDept",,@HQNigerianArmy @realDonaldTrump @HrmQueene @BorisJohnson @StateDept,,1203877504055959552,https://twitter.com/Emekaclems222/status/1203877504055959552
2019-12-09 02:19:38,NewsASAPng,,0,0,0,"Ese Oruru: Abducted, Raped, Impregnated Teenager Yet To Get Justice 4 Years Later https://is.gd/dSrkRg",,,,1203861731979747328,https://twitter.com/NewsASAPng/status/1203861731979747328
2019-12-08 22:44:11,DanielBalogun,AtedoPeterside,0,1,1,"Adjusting the facts to suit a narrative, reinventing the incident to drag our minds from what truly happened is a character flaw and crime in all intent. The DSS indeed invaded the Justice Ojukwu's court with guns and abducted Sowore IN court. The press reported as it happened.",,,,1203807515240259584,https://twitter.com/DanielBalogun/status/1203807515240259584
2019-12-08 19:49:38,NewsASAPng,,0,0,0,"Herdsmen abducted us to fund cost of bullets used in operations – Iroha https://is.gd/omSi8r",,,,1203763586834870273,https://twitter.com/NewsASAPng/status/1203763586834870273
2019-12-08 18:47:19,DanielBalogun,NGRPresident,0,0,1,"Positing this again leaves one to wonder the intent of this press release and the person behind it really. Does it justify why the COURTS were invaded with guns? Does it justify why he was abducted by the DSS? Are our laws now set aside? This is quite nauciating.",,,,1203747904587882497,https://twitter.com/DanielBalogun/status/1203747904587882497
2019-12-08 16:48:44,soulhighpriest,FierceandModish,0,0,0,"If the woman in this pic wasn't smiling, I'd have thought she was being abducted.... https://twitter.com/FierceandModish/status/1203398000036462592 …",,,,1203718061527830529,https://twitter.com/soulhighpriest/status/1203718061527830529
2019-12-08 10:37:22,naijanewsevents,,0,0,0,"Gunmen suspected to be kidnappers have abducted two Catholic priests in Ondo State. The priest identified as Rev. Father Felix Efobi and Rev. Father Joseph Nweke were kidnapped on their... https://naijanewsandevents.com/gunmen-kidnap-two-catholic-priests-on-owo-benin-highway/ …",,,,1203624602884362240,https://twitter.com/naijanewsevents/status/1203624602884362240
2019-12-08 08:06:10,Edujandonblog,,0,0,0,"New post on my blog: Two Catholic priests abducted in Ondo https://ift.tt/351SdYW",,,,1203586551273443328,https://twitter.com/Edujandonblog/status/1203586551273443328
2019-12-08 07:14:02,NewMailNG,,0,0,0,"Two Catholic priests abducted in Ondo http://bit.ly/36bxO3I",,,,1203573435248599040,https://twitter.com/NewMailNG/status/1203573435248599040
2019-12-07 21:14:58,ArinolaOkeowo,HajardRamadan,0,0,0,"What’s your point exactly? The headlines read that he was arrested in the court room and even Falana said he was abducted by DSS in the courtroom.",,,,1203422675181428736,https://twitter.com/ArinolaOkeowo/status/1203422675181428736
2019-12-07 21:01:46,Tori_Nigeria,,0,0,0,"I Thought My Husband's Kidnappers Were Robbers - Wife Of Abducted Nigerian Lecturer Opens Up https://tori.ng/news/136999/",,,,1203419350927060992,https://twitter.com/Tori_Nigeria/status/1203419350927060992
2019-12-07 19:34:27,NewMailNG,,0,0,0,"Two Catholic priests abducted in Ondo https://newmail-ng.com/two-catholic-priests-abducted-in-ondo/ …pic.twitter.com/nmB8qt21L1",,,,1203397378696470528,https://twitter.com/NewMailNG/status/1203397378696470528
2019-12-07 19:34:19,NewMailNG,,0,0,0,"Two Catholic priests abducted in Ondo - https://wp.me/p3Yx1r-toW",,,,1203397341899657216,https://twitter.com/NewMailNG/status/1203397341899657216
