date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-10 19:10:02,kolawole50,DAREXKY_NBJ,0,1,1,"They have forgotten their main job function and harass the innocent ones daily. Same way I was harassed last year December by policemen in front of oriwu, even when I showed them my ID dat I work in a bank. They threw my ID away n said I'm a criminal they have been looking 4.9ja https://twitter.com/DAREXKY_NBJ/status/1204357374330507270 …",,,,1204478395691814917,https://twitter.com/kolawole50/status/1204478395691814917
2019-12-10 10:21:38,Orifunke,SkimaSax,1,1,0,"Yeah, I get. Never been harassed by them before. Never even been stopped (apart from once, and it wasn't because of my hair). Maybe it's because I am a lady.",,,,1204345418282360832,https://twitter.com/Orifunke/status/1204345418282360832
2019-12-09 20:55:03,philgreatness,,1,0,1,"But the people did not see the moral paradox because you see - hate is a unifying factor. They mobilised thugs to stone a sitting President. They harassed his family wherever they went. Because they are from the hated minority who must NOT be king.",,,,1204142437091946498,https://twitter.com/philgreatness/status/1204142437091946498
2019-12-09 20:37:59,Hassan01500256,BrexitBetrayed,0,0,0,"Protest against a sitting President of United State of America yet no individual was molested/harassed, arrested or killed by security agencies. #FreeSoworeNow #NigeriaNeedsHelp #GodHelpNigeriahttps://twitter.com/BrexitBetrayed/status/1204128083915108352 …",,,#FreeSoworeNow #NigeriaNeedsHelp #GodHelpNigeriahttps,1204138141378138112,https://twitter.com/Hassan01500256/status/1204138141378138112
2019-12-09 17:05:27,360NG2,,0,0,0,"Michael Vick Getting Harassed by Unforgiving NFL Fans https://360ng.com.ng/michael-vick-getting-harassed-by-unforgiving-nfl-fans/ …pic.twitter.com/LuHXDmJLhR",,,,1204084657823928320,https://twitter.com/360NG2/status/1204084657823928320
2019-12-09 17:05:17,I_am_damson,,0,0,0,"Michael Vick Getting Harassed by Unforgiving NFL Fans https://360ng.com.ng/michael-vick-getting-harassed-by-unforgiving-nfl-fans/ …pic.twitter.com/d93XQKqldh",,,,1204084615004262401,https://twitter.com/I_am_damson/status/1204084615004262401
2019-12-09 16:58:19,Olanrew17671756,PoliceNG,0,0,1,"Even when we are harassed by the POLICE?",,,,1204082862040989702,https://twitter.com/Olanrew17671756/status/1204082862040989702
2019-12-09 14:23:08,the_davidatta,Waziriadio,14,43,107,"One aunty who went to buy booli when some criminsls burnt some policemen last week but who suddenly reappeared when Sowore harassed himself in court some days ago, has gone again to buy epa... She won't see this. https://twitter.com/Waziriadio/status/1203980365020508161 …",,,,1204043806741585927,https://twitter.com/the_davidatta/status/1204043806741585927
2019-12-09 13:34:54,tso_original,,0,0,1,"When you go to your girlfriends work Christmas party and you get sexually harassed half the night .... go sit by yo nigga. LEAVE ME ALONE",,,,1204031671546327041,https://twitter.com/tso_original/status/1204031671546327041
2019-12-09 11:12:29,Tori_Nigeria,,0,0,0,"Nigerian Man Narrates How He Was Allegedly Harassed By A 'Gay' Guy While They Were Both On A Bike https://tori.ng/news/137077/",,,,1203995830178463746,https://twitter.com/Tori_Nigeria/status/1203995830178463746
2019-12-09 09:11:37,the_pseudoverse,the_pseudoverse,1,0,2,"Thorny, you even put in your bio that you're a cis dude I am not If you wanna be all statistical, Im multiple times more likely to be harassed, beaten, raped, killed, and more You dont get to tell me why I should be fine having the best tools possible to protect myself taken away",,,,1203965412213317632,https://twitter.com/the_pseudoverse/status/1203965412213317632
2019-12-09 09:00:14,vsdtech,,0,0,0,"Nigerian man narrates how a 'gay' guy allegedly sexually harassed him while they were both on a bike #CelebGossip http://www.lindaikejisblog.com/2019/12/nigerian-man-narrates-how-a-gay-guy-allegedly-sexually-harassed-him-while-they-were-both-on-a-bike.html …",,,#CelebGossip,1203962547289907201,https://twitter.com/vsdtech/status/1203962547289907201
2019-12-09 08:25:18,lindaikeji,,0,3,6,"Nigerian man narrates how a ''gay'' guy allegedly sexually harassed him while they were both on a bike https://www.lindaikejisblog.com/2019/12/nigerian-man-narrates-how-a-gay-guy-allegedly-sexually-harassed-him-while-they-were-both-on-a-bike.html …pic.twitter.com/XKRuDxo6I9",,,,1203953755583995904,https://twitter.com/lindaikeji/status/1203953755583995904
2019-12-09 07:57:20,RukySpeaks,,2,0,0,"Its stale but we can still talk about it. I think the student from QC that was harassed by the security should have been treated better. We can leave sentiments aside and focus on how things should be done. Even if the FG's policy on school dressing doesn't permit the use of",,,,1203946719085563904,https://twitter.com/RukySpeaks/status/1203946719085563904
2019-12-09 07:43:34,wisedude20,bashy_io,1,0,0,"Needed this how! So she gets harassed if she doesn't give her men her number. Their problem is deep vast. I think they won it 2017 or 2018",,,,1203943255009845249,https://twitter.com/wisedude20/status/1203943255009845249
2019-12-09 07:31:11,ojanikoko,eaderoh,0,1,1,"Did you know what police later did n the number of casualties. Almost the same day herdsmen killed 6 policemen n definitely nobody was arrested nor harassed by the police. Hypo..., https://twitter.com/eaderoh/status/1203724578796851201 …",,,,1203940136230232066,https://twitter.com/ojanikoko/status/1203940136230232066
2019-12-09 07:15:43,iDonsabi,,1,0,0,"Fashion Designer, Alex Narrates How Another Man Sexually Harassed Him On Bike In Lagos https://idonsabi.com/fashion-designer-alex-narrates-how-another-man-sexually-harassed-him-on-bike-in-lagos/ …pic.twitter.com/0GhYdRg4cj",,,,1203936243584765952,https://twitter.com/iDonsabi/status/1203936243584765952
2019-12-09 06:02:31,_georgeesan,BernardDayo,0,0,1,"And your overly politically correct ass and the rest of the people on the thread like you totally ignored that the mans was harassed, and got hung up on one word.",,,,1203917822067384320,https://twitter.com/_georgeesan/status/1203917822067384320
2019-12-09 05:59:17,newsbreakngr,,0,2,0,"How Gay Passenger Sexually Harassed Me On Motorcycle In Lagos – Man https://www.newsbreak.ng/?p=636044",,,,1203917010578681857,https://twitter.com/newsbreakngr/status/1203917010578681857
2019-12-08 20:44:53,ade_tiamiyu,ade_tiamiyu,1,0,1,"to walk peacefully without getting harassed by a Sars officers and getting killed like a chicken, Tueh "". If that person happens to be your brother, will you take it as a satire?",,,,1203777489606184961,https://twitter.com/ade_tiamiyu/status/1203777489606184961
2019-12-08 20:30:24,OlooriEjiro,Oluwabukunmi__,0,0,1,"At least someone will understand what women go through when they're sexually harassed",,,,1203773845544620033,https://twitter.com/OlooriEjiro/status/1203773845544620033
