date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-10 23:40:16,PresidentFBAN,shattawalegh,2,0,7,"I hope you are ready for the mytries that comes with it.... .... No go dey cruise Benz around Lagos anyhow... Cos if u jam SARS ...Dem go don brush ur mouth finish before dem go knw say u be star for one village before.....We no get joy for here..so no go dey yarn anyhw",,,,1204546403168595969,https://twitter.com/PresidentFBAN/status/1204546403168595969
2019-12-10 22:18:42,Sikowitz17,UnclePamilerin,0,0,0,"Until sars stops you..",,,,1204525876920094720,https://twitter.com/Sikowitz17/status/1204525876920094720
2019-12-10 22:14:55,DotunBorokinni,DayoIbiyeye,1,0,0,"Hiking to where?? With mad sars everywhere?? https://twitter.com/DayoIbiyeye/status/1204517774309113857 …",,,,1204524923785482240,https://twitter.com/DotunBorokinni/status/1204524923785482240
2019-12-10 21:38:18,Bimbola_seni,ajigzy,0,0,0,"Im calling SARS for you.",,,,1204515709046403074,https://twitter.com/Bimbola_seni/status/1204515709046403074
2019-12-10 21:27:37,dannyskye_,,0,0,0,"Egbami... Kasala don land o.. SARS don carry Father Christmas.. Dem talk say e de do YAHOO.. leemaooo pic.twitter.com/NTmPTS20wP",,,,1204513019281190913,https://twitter.com/dannyskye_/status/1204513019281190913
2019-12-10 20:29:37,AreoOladayo,UnclePamilerin,0,0,0,"Yes.... SARS",,,,1204498424516796417,https://twitter.com/AreoOladayo/status/1204498424516796417
2019-12-10 19:59:29,iam_behza,y3Ghana,0,0,0,"Accra na him dey accommodate naija yahoo boys now bcus bcus is hard to run yahoo in Nigeria when SARS is everywhere",,,,1204490841898790915,https://twitter.com/iam_behza/status/1204490841898790915
2019-12-10 19:26:16,Tho_niah,Original_Lyon,1,0,0,"Help me slap one SARS officer",,,,1204482483233939457,https://twitter.com/Tho_niah/status/1204482483233939457
2019-12-10 19:24:23,Harlymat3,,4,11,24,"Wetin we no go c, sars don carry father Christmas ooo pic.twitter.com/sVnFtgIzmz",,,,1204482006953975814,https://twitter.com/Harlymat3/status/1204482006953975814
2019-12-10 18:56:57,Mohzix,PoliceNG,1,0,1,"What of when SARS dey harrass us? Which number we go call? https://twitter.com/PoliceNG/status/1204006677990821888 …",,,,1204475103062495236,https://twitter.com/Mohzix/status/1204475103062495236
2019-12-10 18:43:17,bengee_oye,UnclePamilerin,0,0,2,"Yes. Fed Sars and EFCC",,,,1204471663066275840,https://twitter.com/bengee_oye/status/1204471663066275840
2019-12-10 18:28:35,Chiileetaa,,0,0,1,"Please where's SARS office?? I need the location urgently",,,,1204467965539868672,https://twitter.com/Chiileetaa/status/1204467965539868672
2019-12-10 17:43:07,LightmosesAjib1,PoliceNG,0,0,0,"Call if we are in trouble... what if your kidnappers/Sars abduct us for no reason",,,,1204456521704386562,https://twitter.com/LightmosesAjib1/status/1204456521704386562
2019-12-10 17:14:36,mowizzynse,beatsbysarz,0,0,0,"Frame 1 : When I see SARS Frame 2 : When I see SARZ https://twitter.com/beatsbysarz/status/1204346576744919040 …",,,,1204449348337197058,https://twitter.com/mowizzynse/status/1204449348337197058
2019-12-10 17:13:49,AL_Tofunmi,ViceDeputyJesus,2,0,0,"Being a Nigerian with dreadlocks that earns salary in Kogi state, supporting Arsenal and reading this with glo data while queuing at Ecobank ATM with SARS officials 20meters from where u are, 3 days to a general election having Buhari as a candidate. https://twitter.com/ViceDeputyJesus/status/1198151491900596224 …",,,,1204449149577498624,https://twitter.com/AL_Tofunmi/status/1204449149577498624
2019-12-10 16:49:40,IAmQuebex,PoliceNG,1,3,0,"So make I call Police for SARS? https://twitter.com/PoliceNG/status/1204006677990821888 …",,,,1204443073767518209,https://twitter.com/IAmQuebex/status/1204443073767518209
2019-12-10 16:46:02,yettyclassy,,7,11,44,"I have a question. Why is the Sars bants triggering the lot of you guys? I mean I thought you guys said dark humor got no boundaries.",,,,1204442156506718209,https://twitter.com/yettyclassy/status/1204442156506718209
2019-12-10 16:45:27,Elvolante,CakeMaestro042,0,0,0,"She should have said 'imagine if I was a boy and had to be scared of SARS'. That's creativity.",,,,1204442009500565505,https://twitter.com/Elvolante/status/1204442009500565505
2019-12-10 16:30:28,olayemi_aom,,0,2,4,"Wahalla don dey oo, sars don carry father Christmas. pic.twitter.com/9QPcmkiW23",,,,1204438240545169408,https://twitter.com/olayemi_aom/status/1204438240545169408
2019-12-10 16:26:10,FadelEmmy,BelloRahmah,4,6,40,"Smile or NAH? Forget that one fezz baby can I take you to the BAR? I'm not talking about law I mean the real BARyour love is scattering my head infact it's making me drop BARSlast nyt I got arrested checking your pictures on the road guess who? Na SARS u too fine https://twitter.com/BelloRahmah/status/1204402262853988358 …",,,,1204437159433981955,https://twitter.com/FadelEmmy/status/1204437159433981955
2019-12-10 16:14:14,SirFredrick19,,0,0,1,"SARS don carry Father Christmas oo,Only in Nigeria pic.twitter.com/pftpFPTs2k",,,,1204434155414720513,https://twitter.com/SirFredrick19/status/1204434155414720513
2019-12-10 16:04:48,bimgram,,0,0,0,"Shiloh 2019 has ended, I knw ur next target is 5nights of glory If he doesn't propose after 5 nights of glory. Aunty use SARS pic.twitter.com/LvHLzkPAFd",,,,1204431780046102529,https://twitter.com/bimgram/status/1204431780046102529
2019-12-10 15:57:07,DayoThomas,TunjiDisu1,0,0,0,"If only SARS are Taught everything I can see written in this Board... People wouldn’t have been having this very Negative Perception of them ! Kudos to the members of RRS, Especially the Leadership !",,,,1204429847994544129,https://twitter.com/DayoThomas/status/1204429847994544129
2019-12-10 15:48:52,Daykunley,,1,1,3,"E don happen SARS don carry father Christmas",,,,1204427769519779840,https://twitter.com/Daykunley/status/1204427769519779840
2019-12-10 15:21:13,chief_onyenso,TamisoExtra,0,0,0,"E be like say UBA dey learn work from SARS, cos the way they put lien on people's account these days ehn",,,,1204420810901008385,https://twitter.com/chief_onyenso/status/1204420810901008385
2019-12-10 15:14:52,gtiamiyu_tj,,1,0,0,"SARS arrested Father Christmas. Anything can happen pic.twitter.com/uIpJU18BMZ",,,,1204419215312248832,https://twitter.com/gtiamiyu_tj/status/1204419215312248832
2019-12-10 14:57:55,holuwascott,UnclePamilerin,0,0,0,"SARS",,,,1204414947557429248,https://twitter.com/holuwascott/status/1204414947557429248
2019-12-10 14:47:27,tobbcute,omaakatugba,0,0,0,"Your dread is fresh Only if sars can allow me to do it in peace",,,,1204412315417731072,https://twitter.com/tobbcute/status/1204412315417731072
