date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-10 23:20:10,thenym_ph,,0,0,1,"Tossing water guns at Nigerians in this Buhari regime nigga you’re lucky nobody slapped you or shouted “ole”",,,,1204541344913510401,https://twitter.com/thenym_ph/status/1204541344913510401
2019-12-10 22:59:53,bidexflex,splashfordd,0,0,0,"U nid to b slapped",,,,1204536240856588288,https://twitter.com/bidexflex/status/1204536240856588288
2019-12-10 22:23:49,tolumoteni,fIeurjaehyun,0,0,0,"I watched a cute boy do this once, he got slapped 80% of the time. Why does no one think a slap on a fine girl's cheek is cool? Toxic patriarchy, perhaps? Lmao! https://twitter.com/fIeurjaehyun/status/1203952144036122625 …",,,,1204527163753541632,https://twitter.com/tolumoteni/status/1204527163753541632
2019-12-10 21:59:44,_Damayo,C__Emeka,0,0,0,"You’re gonna get slapped bruv",,,,1204521102904643590,https://twitter.com/_Damayo/status/1204521102904643590
2019-12-10 20:19:57,titonwudinjo,C__Emeka,0,0,1,"You gon be slapped bro https://twitter.com/c__emeka/status/1204266180321665024 …",,,,1204495991879208961,https://twitter.com/titonwudinjo/status/1204495991879208961
2019-12-10 18:54:14,abiolabada5,TomyyO_,0,0,0,"That point he slapped it",,,,1204474420376604673,https://twitter.com/abiolabada5/status/1204474420376604673
2019-12-10 17:44:17,joachim_Okhai,,0,0,0,"Kogi polls: I only slapped Abuh on election day —Principal suspect https://bit.ly/2YBWfEI",,,,1204456816681332736,https://twitter.com/joachim_Okhai/status/1204456816681332736
2019-12-10 17:17:06,farexfinny,ritaUdominic,0,0,0,"My lookalik.. yeee who slapped me?! https://twitter.com/ritaUdominic/status/1204441703479988226 …",,,,1204449975142354946,https://twitter.com/farexfinny/status/1204449975142354946
2019-12-10 17:04:27,talkagblogoffi1,,0,0,0,"Segun Arinze explains why he slapped his security guard - Talka~G~blog https://talkagblog.com/segun-arinze-explains-why-he-slapped-his-security-guard/ …",,,,1204446790646468610,https://twitter.com/talkagblogoffi1/status/1204446790646468610
2019-12-10 16:57:48,perrioooooo,,0,0,0,"Next lil white boy I hear say nigga getting slapped",,,,1204445118528393217,https://twitter.com/perrioooooo/status/1204445118528393217
2019-12-10 16:43:38,preppin2,,0,0,0,"Kogi polls: I only slapped Abuh on election day —Principal suspect https://bit.ly/2YBWfEI",,,,1204441552992559104,https://twitter.com/preppin2/status/1204441552992559104
2019-12-10 16:29:57,MobilePunch,,5,17,47,"Kogi polls: I only slapped Abuh on election day —Principal suspect https://bit.ly/2YBWfEI",,,,1204438109318008833,https://twitter.com/MobilePunch/status/1204438109318008833
2019-12-10 14:18:39,melotreaah,,9,29,50,"Video calls should be booked in advance. Please stop stressing ladies to be running around looking for their wigs. Who slapped me?? pic.twitter.com/PwjcMUhvvu",,,,1204405065773146112,https://twitter.com/melotreaah/status/1204405065773146112
2019-12-10 14:10:51,Akinpersie,dejiborewa,1,0,0,"0... I might get slapped for trying to initiate a hug sef.",,,,1204403106588565505,https://twitter.com/Akinpersie/status/1204403106588565505
2019-12-10 13:52:56,TheInfamousEric,babekxng,0,0,1,"This slapped me! Especially going through his TL. There's no way anyone would've guessed he's underaged. Although, I could see it in his face but not 18! The body itself is already 25 like this",,,,1204398593949544449,https://twitter.com/TheInfamousEric/status/1204398593949544449
2019-12-10 13:52:36,jivenaija,,0,0,0,"Segun Arinze confirms he slapped his houseboy out of 'bottled up anger' https://www.jivenaija.com/entertainment/movies/segun-arinze-confirms-he-slapped-houseboy-out-of-bottled-up-anger …",,,,1204398511745314816,https://twitter.com/jivenaija/status/1204398511745314816
2019-12-10 13:04:29,Godwilnotwhineu,jerneeeeey,0,0,0,"The level at which people dish out small talks is amazing Soi will slap my wife because she slapped me,well well these is where 'women wanting to be men has brought us' https://twitter.com/jerneeeeey/status/1204323210524803072 …",,,,1204386403410468865,https://twitter.com/Godwilnotwhineu/status/1204386403410468865
2019-12-10 12:51:36,ChukaTerry,,1,0,0,"I slapped you, you slap me back Are you mad ??? What if i faint",,,,1204383160601055232,https://twitter.com/ChukaTerry/status/1204383160601055232
2019-12-10 12:07:19,9jaunlocked,,0,0,0,"Segun Arinze explains why he slapped his security guard https://9jaunlocked.com/2019/12/10/segun-arinze-explains-why-he-slapped-his-security-guard/ …pic.twitter.com/sIDGDWA0n5",,,,1204372017224585216,https://twitter.com/9jaunlocked/status/1204372017224585216
2019-12-10 11:33:01,kaladze__,PoojaMedia,0,0,0,"The 2nd wld have slapped harder if you are sitting on that throne https://twitter.com/poojamedia/status/1204322813932384256 …",,,,1204363384881393664,https://twitter.com/kaladze__/status/1204363384881393664
2019-12-10 10:45:40,Abiola_iyiola_,Jerziiii,1,0,0,"On social media we’re all justifying why we’d hit women if they hit us ..but I wouldn’t advice guys to try it(at least not in public)I witnessed an Aboki & a Lady in a brawl at Eko..it was cool while she slapped him. it wasn’t until he hit her back, people knew they’d intervene",,,,1204351469102735360,https://twitter.com/Abiola_iyiola_/status/1204351469102735360
2019-12-10 10:00:15,vsdtech,,0,0,0,"Segun Arinze explains why he slapped his security guard #CelebGistshttps://lailasnews.com/segun-arinze-explains-why-he-slapped-his-security-guard/ …",,,#CelebGistshttps,1204340039196532736,https://twitter.com/vsdtech/status/1204340039196532736
2019-12-10 09:58:19,joyceonyekwere,,0,0,0,"Segun Arinze explains why he slapped his security guard https://joyceonyekwereblog.com/segun-arinze-explains-why-he-slapped-his-security-guard/ …",,,,1204339551440949248,https://twitter.com/joyceonyekwere/status/1204339551440949248
2019-12-10 09:04:07,afri_handel1,adeyanjudeji,0,0,0,"Yes I remember when a judge was slapped inside the court room in Ekiti by a state governor and asked his boys to destroy everything in the court that was when our democracy was in the hands of the democrats...",,,,1204325911904034817,https://twitter.com/afri_handel1/status/1204325911904034817
2019-12-10 08:32:18,ollyogundepo,freshldrb,0,2,1,"That shit slapped fr.",,,,1204317907141955584,https://twitter.com/ollyogundepo/status/1204317907141955584
2019-12-10 07:42:08,bushgirlsng,trending_medic,0,0,0,"That there, was REALITY that slapped her!",,,,1204305279753441281,https://twitter.com/bushgirlsng/status/1204305279753441281
2019-12-10 07:38:12,Ms_AhBee,Romaee_,1,0,0,"Do you need to be slapped dear?",,,,1204304292682883072,https://twitter.com/Ms_AhBee/status/1204304292682883072
2019-12-10 07:24:33,TheonlyWali,suleimana,0,0,0,"This slapped me so hard. Good Morning https://twitter.com/suleimana/status/1204297857244844032 …",,,,1204300856704880641,https://twitter.com/TheonlyWali/status/1204300856704880641
2019-12-10 05:59:56,Baro_of_Africa,jigilola,1,0,2,"This one has almost slapped somebody again https://twitter.com/jigilola/status/1204248831451373568 …",,,,1204279561309106176,https://twitter.com/Baro_of_Africa/status/1204279561309106176
2019-12-10 00:45:15,RNECKMOFO,AndrewPollackFL,0,0,0,"I would've slapped that little SumBitch to sleep! pic.twitter.com/KYvguqE6Q7",,,,1204200368986632192,https://twitter.com/RNECKMOFO/status/1204200368986632192
2019-12-09 23:39:11,4PF_A1,fIeurjaehyun,0,1,2,"I would’ve slapped a mf so quick https://twitter.com/fieurjaehyun/status/1203952144036122625 …",,,,1204183743252094977,https://twitter.com/4PF_A1/status/1204183743252094977
2019-12-09 22:46:12,mimi_chaka,fIeurjaehyun,8,15,42,"I slapped myself cause this video reminded me of how ugly my MCM is https://twitter.com/fieurjaehyun/status/1203952144036122625 …",,,,1204170408553005057,https://twitter.com/mimi_chaka/status/1204170408553005057
2019-12-09 22:34:55,kenyadad12,,1,1,8,"Scanlon just slapped down a white guy's request to butt in and I can see the pain on his face LMFAO A woman! LMFAO The GOP want women barefoot and pregnant They are all in against women AND minorities",,,,1204167570884087808,https://twitter.com/kenyadad12/status/1204167570884087808
2019-12-09 21:47:06,tgc4real,,1,0,17,"I am African, I am black, I am not Ghanaian or south African not even proud to be called nigerian. A country that doesn't celebrate successful youth. Abeg I am a Marlian n a titan kill yourself I said what I said. #GhanaVsNaija tacha unites us. Who slapped me? #TachaLeads",,,#GhanaVsNaija #TachaLeads,1204155536524152832,https://twitter.com/tgc4real/status/1204155536524152832
2019-12-09 21:39:14,dotmanajo,,0,0,0,"We get slapped by City bt this win if it happens wld give this team a bit of lift",,,,1204153556846174211,https://twitter.com/dotmanajo/status/1204153556846174211
2019-12-09 21:26:06,TheoBriggs18,,0,0,0,"2019 was that year when listening to ""Forest Hills Drive"" by J. Cole slapped differently... And I'm a hardcore trap fan. Lol",,,,1204150252804214784,https://twitter.com/TheoBriggs18/status/1204150252804214784
2019-12-09 21:10:43,DIxon_Mathis,nickhall802,1,0,0,"Well, have you slapped yourself yet? It's long overdue. Yoy may find you aren't as fragile as everyone thinks.",,,,1204146380597530625,https://twitter.com/DIxon_Mathis/status/1204146380597530625
2019-12-09 19:30:37,abaidaboss,therealokine,0,0,0,". You are obviously joking. Zakodie can't even come out to say this. Zakodie would have slapped you if he heard you make this statement. #ghanavsnigeria",,,#ghanavsnigeria,1204121189473509376,https://twitter.com/abaidaboss/status/1204121189473509376
